pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z,pt3filt_X,pt3filt_Y,pt3filt_Z
57.252544,-22.111978,17.920502,43.291383,-20.746226,41.231862,NaN,NaN,NaN
57.094243,-21.982636,17.902308,43.327159,-20.642987,41.308172,NaN,NaN,NaN
56.925024,-21.837137,17.915316,43.395088,-20.597710,41.407875,NaN,NaN,NaN
56.759963,-21.732271,17.951670,43.498778,-20.728233,41.510547,NaN,NaN,NaN
56.604725,-21.691371,17.997417,43.615741,-21.059046,41.594462,NaN,NaN,NaN
56.457802,-21.698953,18.039404,43.702038,-21.495843,41.646065,NaN,NaN,NaN
56.316052,-21.720313,18.071550,43.710786,-21.874862,41.667052,NaN,NaN,NaN
56.179404,-21.729289,18.097465,43.615098,-22.067030,41.676199,NaN,NaN,NaN
56.051940,-21.724022,18.128829,43.419692,-22.068525,41.703777,NaN,NaN,NaN
55.940446,-21.721332,18.181652,43.153948,-21.992835,41.780894,NaN,NaN,NaN
55.852975,-21.742336,18.272440,42.859121,-21.988851,41.928688,NaN,NaN,NaN
55.797718,-21.804415,18.414435,42.580399,-22.166023,42.149881,NaN,NaN,NaN
55.781470,-21.919651,18.614156,42.359899,-22.555296,42.425618,NaN,NaN,NaN
55.807603,-22.092805,18.869605,42.225524,-23.113467,42.720965,NaN,NaN,NaN
55.873857,-22.318586,19.170549,42.183995,-23.764851,42.996742,NaN,NaN,NaN
55.970305,-22.582336,19.499989,42.214688,-24.449364,43.220830,NaN,NaN,NaN
56.079118,-22.863483,19.836413,42.265603,-25.122649,43.374751,NaN,NaN,NaN
56.178100,-23.140049,20.156256,42.262075,-25.712316,43.456147,NaN,NaN,NaN
56.246923,-23.392066,20.436205,42.135569,-26.108057,43.478399,NaN,NaN,NaN
56.272997,-23.600239,20.656313,41.861963,-26.233202,43.466950,NaN,NaN,NaN
56.254544,-23.743966,20.803692,41.481107,-26.107957,43.452525,NaN,NaN,NaN
56.199674,-23.805273,20.875139,41.081004,-25.829313,43.461888,NaN,NaN,NaN
56.122561,-23.778273,20.877668,40.757225,-25.491558,43.508798,NaN,NaN,NaN
56.038341,-23.676839,20.826689,40.568939,-25.142784,43.588503,NaN,NaN,NaN
55.957845,-23.530477,20.742074,40.512035,-24.802424,43.679064,NaN,NaN,NaN
55.884808,-23.367456,20.643798,40.526192,-24.476644,43.751274,NaN,NaN,NaN
55.818813,-23.203569,20.548573,40.537251,-24.141765,43.782926,NaN,NaN,NaN
55.761771,-23.048451,20.467326,40.497499,-23.773448,43.766931,NaN,NaN,NaN
55.720223,-22.912496,20.404890,40.398462,-23.394543,43.711836,NaN,NaN,NaN
55.702937,-22.806416,20.361928,40.261171,-23.064855,43.637332,NaN,NaN,NaN
55.720036,-22.741742,20.336161,40.124087,-22.837682,43.566202,NaN,NaN,NaN
55.784079,-22.730815,20.322228,40.036541,-22.735356,43.515526,NaN,NaN,NaN
55.909568,-22.780358,20.311742,40.049014,-22.746796,43.491277,NaN,NaN,NaN
56.109664,-22.881099,20.295221,40.196809,-22.824658,43.488497,NaN,NaN,NaN
56.393032,-23.007535,20.265414,40.488990,-22.884580,43.496337,NaN,NaN,NaN
56.761243,-23.134358,20.220101,40.908909,-22.846080,43.505348,NaN,NaN,NaN
57.205066,-23.254317,20.163492,41.421725,-22.701563,43.512731,NaN,NaN,NaN
57.701683,-23.385131,20.105206,41.984626,-22.542361,43.522278,NaN,NaN,NaN
58.215779,-23.557218,20.057000,42.555556,-22.507758,43.539943,NaN,NaN,NaN
58.705494,-23.788306,20.028678,43.098488,-22.695802,43.568778,NaN,NaN,NaN
59.129871,-24.064028,20.025393,43.582762,-23.105753,43.606260,NaN,NaN,NaN
59.455047,-24.337573,20.047426,43.975273,-23.646811,43.645754,NaN,NaN,NaN
59.659361,-24.550081,20.091612,44.238269,-24.193173,43.681086,NaN,NaN,NaN
59.737962,-24.662895,20.152597,44.344446,-24.644806,43.710453,NaN,NaN,NaN
59.704994,-24.681933,20.222691,44.299871,-24.966644,43.735618,NaN,NaN,NaN
59.590060,-24.652836,20.290738,44.149545,-25.193654,43.757947,NaN,NaN,NaN
59.428773,-24.626534,20.342292,43.956895,-25.389885,43.775911,NaN,NaN,NaN
59.253489,-24.623229,20.362499,43.777484,-25.589232,43.785322,NaN,NaN,NaN
59.089774,-24.623987,20.340075,43.647516,-25.761223,43.781752,NaN,NaN,NaN
58.956784,-24.590034,20.270708,43.587987,-25.829876,43.763637,NaN,NaN,NaN
58.867496,-24.492470,20.158975,43.613198,-25.733635,43.734494,NaN,NaN,NaN
58.827236,-24.332094,20.018495,43.734647,-25.484602,43.703212,NaN,NaN,NaN
58.832203,-24.140672,19.870323,43.957584,-25.180170,43.682403,NaN,NaN,NaN
58.869863,-23.969214,19.739619,44.273749,-24.962427,43.685224,NaN,NaN,NaN
58.921102,-23.869085,19.651075,44.654775,-24.960771,43.721017,NaN,NaN,NaN
58.962737,-23.871042,19.624273,45.049217,-25.240996,43.791970,NaN,NaN,NaN
58.970336,-23.970796,19.670307,45.385928,-25.774128,43.892752,NaN,NaN,NaN
